Linha,Descricao
74,method_dec
75,var_dec+atrib
76,var_dec+atrib
77,method_call
78,var_dec+atrib
79,exception
80,var_atrib
81,var_dec+atrib
82,method_call
83,method_call
84,loop
85,var_dec+atrib
86,var_dec+atrib
87,var_dec+atrib
88,var_dec+atrib
89,method_call
91,exception
92,method_call
