Linha,Descricao
190,method_dec
192,conditional
194,conditional
196,comment
197,comment
198,method_call
199,return
201,conditional
203,comment
204,return
208,conditional
210,var_dec+atrib
211,var_dec+atrib
212,conditional
214,comment
215,comment
216,method_call
217,return
219,conditional
221,comment
222,return
225,return
